"Destructobots",2
"Gifted Recruits",4
"Felflares",3
"Finite Loopers",3
"First Mutineer",3
"Potion of Growth",3
"Chaotic Pupil",3
"Execution",3
"Overchargers",3
"Warfront Runners",3
"Bluesail Raiders",3
"Salty Outcasts",3
